,0
0,1
1,4
2,10
3,17
4,26
5,27
6,27
7,40
8,28
9,39
10,46
11,39
12,39
13,30
14,29
15,28
16,28
17,39
18,37
19,41
20,44
21,40
22,52
23,58
24,52
25,47
26,39
27,46
28,47
29,50
30,52
31,76
32,71
33,60
34,61
35,67
36,45
37,35
38,54
39,60
40,72
41,64
42,57
43,50
44,45
45,51
46,51
47,39
48,58
49,75
50,84
51,92
52,96
53,97
54,118
55,118
56,104
57,107
58,105
59,88
60,78
61,73
62,68
63,62
64,53
65,50
66,41
67,53
68,39
69,31
70,30
71,27
72,20
73,11
74,14
75,12
76,16
77,11
78,6
79,4
80,5
81,6
82,2
83,2
84,3
85,2
86,2
87,2
88,1
89,1
