Name,cluster-not_std,cluster-std
HMDB0000058,0,0
HMDB0000343,10,13
HMDB0000372,10,13
HMDB0000406,10,13
HMDB0000416,13,5
HMDB0000431,10,13
HMDB0000512,7,2
HMDB0000594,10,13
HMDB0000637,13,5
HMDB0000667,4,4
HMDB0000671,1,11
HMDB0000706,4,4
HMDB0000715,7,2
HMDB0000722,13,5
HMDB0000763,7,2
HMDB0000839,1,11
HMDB0000842,3,9
HMDB0000860,7,2
HMDB0000874,13,5
HMDB0000881,1,11
HMDB0000929,1,11
HMDB0001000,0,0
HMDB0001054,13,5
HMDB0001091,0,0
HMDB0001204,0,0
HMDB0001244,0,0
HMDB0001389,4,4
HMDB0001510,7,2
HMDB0001518,10,4
HMDB0001570,10,13
HMDB0001849,4,4
HMDB0001892,3,9
HMDB0001894,10,13
HMDB0001925,3,9
HMDB0001938,13,5
HMDB0001940,4,4
HMDB0002096,1,11
HMDB0002114,1,11
HMDB0002124,4,4
HMDB0002209,1,11
HMDB0002236,0,0
HMDB0002269,10,13
HMDB0002294,0,0
HMDB0002302,7,2
HMDB0002326,4,4
HMDB0002338,4,13
HMDB0002372,1,11
HMDB0002708,10,13
HMDB0002710,0,0
HMDB0002780,4,4
HMDB0002899,1,11
HMDB0003066,12,1
HMDB0003075,7,2
HMDB0003141,13,5
HMDB0003175,0,0
HMDB0003217,4,4
HMDB0003218,13,5
HMDB0003235,0,0
HMDB0003263,4,4
HMDB0003306,1,11
HMDB0003312,1,11
HMDB0003324,13,5
HMDB0003572,0,0
HMDB0003573,4,4
HMDB0003601,0,0
HMDB0003747,3,9
HMDB0003882,0,0
HMDB0004078,10,13
HMDB0004087,7,2
HMDB0004185,4,4
HMDB0004215,7,2
HMDB0004238,0,0
HMDB0004240,0,0
HMDB0004241,0,0
HMDB0004484,13,5
HMDB0004590,4,4
HMDB0004629,1,11
HMDB0004685,0,0
HMDB0004808,0,13
HMDB0004810,10,13
HMDB0005014,10,13
HMDB0005020,13,5
HMDB0005033,4,4
HMDB0005035,0,0
HMDB0005039,13,5
HMDB0005041,0,0
HMDB0005042,13,5
HMDB0005760,1,11
HMDB0005781,10,13
HMDB0005782,10,13
HMDB0005789,10,13
HMDB0005801,4,4
HMDB0005808,4,4
HMDB0005897,4,4
