;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
0;HMDB0257062;HMDB0029303;HMDB0010334;HMDB0003066;HMDB0060006;HMDB0061046;HMDB0006217;HMDB0006203;HMDB0006101;HMDB0060001;HMDB0245424;HMDB0038930;HMDB0038918;HMDB0038146;HMDB0037255;HMDB0037060;HMDB0039100;HMDB0033537;HMDB0036154;HMDB0039617;HMDB0040308;HMDB0061139;HMDB0259106;HMDB0258664;HMDB0252390;HMDB0247773;HMDB0252743;HMDB0034042;HMDB0249062;HMDB0029521;HMDB0252173;HMDB0244562;HMDB0247807;HMDB0030670;HMDB0041008;HMDB0030731;HMDB0040981;HMDB0034319;HMDB0033610;HMDB0030852;HMDB0260029;HMDB0029539;HMDB0037245;HMDB0029386;HMDB0039455;HMDB0032559;HMDB0251469;HMDB0032041;HMDB0253470;HMDB0252151;HMDB0243898;HMDB0243929;HMDB0248785;HMDB0255884;HMDB0246573;HMDB0256187;HMDB0060629;HMDB0013854;HMDB0014438;HMDB0015023;HMDB0060984;HMDB0032217;HMDB0259775;HMDB0248447;HMDB0251650;HMDB0247783;HMDB0251166;HMDB0248072;HMDB0251586;HMDB0003572;HMDB0060030;HMDB0250269;HMDB0253595;HMDB0030234;HMDB0248289;HMDB0254840;HMDB0034512;HMDB0029291;HMDB0033340;HMDB0030228;HMDB0250851;HMDB0252162;HMDB0254084;HMDB0257362;HMDB0014256;HMDB0248367;HMDB0249005;HMDB0249008;HMDB0245254;HMDB0254234
1;;HMDB0260314;HMDB0033037;HMDB0039059;HMDB0251459;HMDB0030398;HMDB0032156;HMDB0247444;HMDB0260225;HMDB0036281;HMDB0038921;HMDB0036618;HMDB0301907;HMDB0247730;HMDB0301706;HMDB0037784;HMDB0036589;HMDB0301908;HMDB0039632;HMDB0031428;HMDB0035446;HMDB0041441;HMDB0035529;HMDB0035993;HMDB0035197;HMDB0030087;HMDB0034214;HMDB0249595;HMDB0255957;HMDB0014616;HMDB0015220;HMDB0037272;HMDB0029495;HMDB0246287;HMDB0030669;HMDB0037316;HMDB0040866;HMDB0030699;HMDB0030396;HMDB0032561;HMDB0062470;HMDB0037247;HMDB0003235;HMDB0245031;HMDB0037249;HMDB0035467;HMDB0032049;HMDB0248896;HMDB0256905;HMDB0032394;HMDB0243934;HMDB0253051;HMDB0255077;HMDB0243820;HMDB0257012;HMDB0244705;HMDB0060554;HMDB0013862;HMDB0060905;HMDB0060538;HMDB0251422;HMDB0248462;HMDB0250344;HMDB0257026;HMDB0060918;HMDB0243678;HMDB0032582;HMDB0040813;HMDB0033712;HMDB0257512;HMDB0252826;HMDB0038630;HMDB0030270;HMDB0033339;HMDB0030312;HMDB0260408;HMDB0296910;HMDB0033333;HMDB0013886;HMDB0013888;HMDB0245942;HMDB0250884;HMDB0251585;HMDB0013872;HMDB0060838;HMDB0253858;HMDB0253839;HMDB0244215;;
2;;HMDB0030249;HMDB0000929;HMDB0040354;HMDB0035027;HMDB0029826;HMDB0014971;HMDB0037774;HMDB0033688;HMDB0260212;HMDB0038932;HMDB0247077;HMDB0035587;HMDB0032583;HMDB0032649;HMDB0038051;HMDB0035865;HMDB0040796;HMDB0034193;HMDB0039661;HMDB0031969;HMDB0038114;HMDB0039634;HMDB0035914;HMDB0247574;HMDB0060122;HMDB0244335;HMDB0251263;HMDB0253335;HMDB0244730;HMDB0037112;HMDB0248645;HMDB0240464;HMDB0031753;HMDB0038742;HMDB0247097;HMDB0033915;HMDB0030545;HMDB0061105;HMDB0039873;HMDB0031612;HMDB0249389;HMDB0029524;HMDB0059854;HMDB0037139;HMDB0037130;HMDB0002780;HMDB0250868;HMDB0032018;HMDB0030601;HMDB0035970;HMDB0251091;HMDB0254099;HMDB0014443;HMDB0244337;HMDB0060675;HMDB0250261;HMDB0250491;HMDB0060610;HMDB0254134;HMDB0248789;HMDB0015350;HMDB0253524;HMDB0256992;HMDB0244234;HMDB0248593;HMDB0037528;HMDB0030606;HMDB0033457;HMDB0032058;HMDB0249719;HMDB0030283;HMDB0033343;HMDB0260294;HMDB0259990;HMDB0259991;HMDB0030147;HMDB0060839;HMDB0014028;HMDB0245967;HMDB0014803;HMDB0254108;;;HMDB0015049;;;;;
3;;HMDB0031553;HMDB0035068;HMDB0010322;HMDB0038618;HMDB0250946;HMDB0127731;HMDB0040545;HMDB0013950;HMDB0259989;HMDB0035736;HMDB0250469;HMDB0035896;HMDB0036470;HMDB0035712;HMDB0035095;HMDB0036444;HMDB0301952;HMDB0036768;HMDB0301728;HMDB0034836;HMDB0037623;HMDB0301850;HMDB0036628;HMDB0060127;HMDB0030728;HMDB0041543;HMDB0248241;HMDB0029830;HMDB0033028;HMDB0242146;HMDB0030789;HMDB0030948;HMDB0249183;HMDB0037104;HMDB0039959;HMDB0250346;HMDB0033487;HMDB0038990;HMDB0034056;HMDB0035062;HMDB0030202;HMDB0039159;HMDB0038339;HMDB0037279;HMDB0037174;HMDB0035364;HMDB0033036;HMDB0253511;HMDB0253635;HMDB0032389;HMDB0249859;HMDB0250923;HMDB0060903;HMDB0060676;HMDB0060353;HMDB0060930;HMDB0015260;HMDB0060778;HMDB0246984;HMDB0251663;HMDB0256186;HMDB0246943;HMDB0060389;HMDB0060970;HMDB0250823;HMDB0243960;HMDB0257154;HMDB0033317;HMDB0249724;HMDB0015200;HMDB0254486;HMDB0033033;HMDB0301705;HMDB0247255;HMDB0034213;HMDB0060775;HMDB0001244;HMDB0255231;HMDB0060932;HMDB0014462;HMDB0245832;;;;;;;;
4;;;HMDB0031661;HMDB0040412;HMDB0006344;HMDB0127983;HMDB0041817;HMDB0260308;HMDB0030949;HMDB0038187;HMDB0037695;HMDB0302014;HMDB0258338;HMDB0258576;HMDB0041385;HMDB0036305;HMDB0035254;HMDB0037097;HMDB0036938;HMDB0301911;HMDB0297014;HMDB0038047;HMDB0037985;HMDB0251058;HMDB0038479;HMDB0040565;HMDB0035291;HMDB0041518;HMDB0040786;HMDB0248632;HMDB0030816;HMDB0037319;HMDB0002708;HMDB0032725;HMDB0039917;HMDB0039380;HMDB0039656;HMDB0038999;HMDB0249930;HMDB0038448;HMDB0032322;HMDB0039914;HMDB0035412;HMDB0029218;HMDB0034117;HMDB0249076;HMDB0037165;HMDB0040935;HMDB0250549;HMDB0032962;HMDB0032963;HMDB0258329;HMDB0253052;HMDB0253055;HMDB0015075;HMDB0060512;HMDB0013995;HMDB0254877;HMDB0255592;HMDB0254448;HMDB0253718;HMDB0041723;HMDB0256914;HMDB0249910;HMDB0240716;HMDB0013243;HMDB0256834;HMDB0259933;HMDB0251444;HMDB0030242;HMDB0033925;HMDB0036192;HMDB0031724;HMDB0003882;HMDB0253086;HMDB0060776;HMDB0041731;HMDB0250218;HMDB0251415;;HMDB0030187;HMDB0015288;;;;;;;;
5;;;HMDB0038200;HMDB0038188;HMDB0010321;HMDB0061000;HMDB0014600;HMDB0032382;HMDB0038203;HMDB0039167;HMDB0035698;HMDB0302042;HMDB0248459;HMDB0253268;HMDB0254182;HMDB0030770;HMDB0039601;HMDB0037922;HMDB0029541;HMDB0035879;HMDB0037920;HMDB0034607;HMDB0253291;HMDB0037041;HMDB0034004;HMDB0038330;HMDB0030861;HMDB0041660;HMDB0301710;HMDB0029981;HMDB0252733;HMDB0032990;HMDB0032143;HMDB0039147;HMDB0248694;HMDB0037252;HMDB0032587;HMDB0030766;HMDB0036450;HMDB0038647;HMDB0242340;HMDB0036381;HMDB0035427;HMDB0253774;HMDB0254547;HMDB0033270;HMDB0251778;HMDB0061814;HMDB0060846;HMDB0031912;HMDB0259139;HMDB0247285;HMDB0251110;HMDB0060590;HMDB0247903;HMDB0014662;HMDB0060701;HMDB0060607;HMDB0060542;HMDB0254413;HMDB0248325;HMDB0249436;HMDB0247269;HMDB0257354;HMDB0060802;HMDB0034757;HMDB0013713;HMDB0033318;HMDB0247227;HMDB0033315;HMDB0249387;HMDB0036163;HMDB0255225;HMDB0257502;HMDB0247116;HMDB0255283;HMDB0242015;HMDB0253205;HMDB0256617;;;HMDB0030191;;;;;;;;
6;;;HMDB0259970;HMDB0257137;HMDB0257133;HMDB0250821;HMDB0060531;HMDB0253237;HMDB0062274;HMDB0037477;HMDB0302093;HMDB0036595;HMDB0258832;HMDB0000343;HMDB0257245;HMDB0031833;HMDB0037342;HMDB0038113;HMDB0036207;HMDB0035957;HMDB0037679;HMDB0037232;HMDB0059759;HMDB0259983;HMDB0005801;HMDB0038472;HMDB0034270;HMDB0005041;HMDB0030691;HMDB0260336;HMDB0041090;HMDB0030804;HMDB0240369;HMDB0012220;HMDB0033304;HMDB0033017;HMDB0035405;HMDB0036026;HMDB0038646;HMDB0059782;HMDB0036369;HMDB0040700;HMDB0034690;HMDB0030651;HMDB0029711;HMDB0029681;HMDB0014826;HMDB0030848;HMDB0032981;HMDB0040129;HMDB0257524;HMDB0246619;HMDB0243925;HMDB0254852;HMDB0060583;HMDB0252125;HMDB0247313;HMDB0060923;HMDB0250959;HMDB0256127;HMDB0257042;HMDB0060803;HMDB0060631;HMDB0060898;HMDB0251119;HMDB0258849;HMDB0253740;HMDB0301769;HMDB0253978;HMDB0255648;HMDB0038626;HMDB0253231;HMDB0247745;HMDB0255052;HMDB0254768;HMDB0243936;HMDB0014977;HMDB0253236;;;;;;;;;;;;
7;;;HMDB0036677;HMDB0059897;HMDB0013039;HMDB0240465;HMDB0033525;HMDB0001054;HMDB0125161;HMDB0257357;HMDB0034618;HMDB0242298;HMDB0249307;HMDB0012488;HMDB0030946;HMDB0036605;HMDB0031824;HMDB0036347;HMDB0061110;HMDB0036359;HMDB0030619;HMDB0035129;HMDB0039521;HMDB0032665;HMDB0041460;HMDB0030735;HMDB0034039;HMDB0040692;HMDB0030854;HMDB0250457;HMDB0040383;HMDB0039960;HMDB0030573;HMDB0240371;HMDB0040355;HMDB0035015;HMDB0038756;HMDB0038139;HMDB0029119;HMDB0029134;HMDB0037723;HMDB0255110;HMDB0246626;HMDB0030792;HMDB0030746;HMDB0033103;HMDB0035214;HMDB0030711;HMDB0030947;HMDB0034002;HMDB0031925;HMDB0249880;HMDB0031744;HMDB0032025;HMDB0252118;HMDB0251141;HMDB0248873;HMDB0014325;HMDB0014869;HMDB0245796;HMDB0250362;HMDB0254052;HMDB0249713;HMDB0248773;HMDB0251990;HMDB0040809;HMDB0256926;HMDB0254275;HMDB0247612;HMDB0247271;HMDB0245380;HMDB0258196;HMDB0252405;HMDB0252319;HMDB0250967;HMDB0246769;HMDB0060653;HMDB0015026;;;;;;;;;;;;
8;;;HMDB0035779;HMDB0034720;HMDB0060316;HMDB0060848;HMDB0062292;HMDB0130523;HMDB0240216;HMDB0033521;HMDB0250069;HMDB0252656;HMDB0000406;HMDB0251609;HMDB0255441;HMDB0041297;HMDB0035035;HMDB0037489;HMDB0036463;HMDB0036881;HMDB0036929;HMDB0036425;HMDB0033878;HMDB0004484;HMDB0041519;HMDB0041488;HMDB0015412;HMDB0030853;HMDB0250043;HMDB0244083;HMDB0250060;HMDB0037250;HMDB0030787;HMDB0041214;HMDB0260402;HMDB0039069;HMDB0033649;HMDB0246196;HMDB0059980;HMDB0240220;HMDB0038397;HMDB0038788;HMDB0038787;HMDB0035213;HMDB0031378;HMDB0030404;HMDB0248358;HMDB0037739;HMDB0245654;HMDB0029535;HMDB0033651;HMDB0250858;HMDB0248778;HMDB0247899;HMDB0247234;HMDB0245035;HMDB0060594;HMDB0252187;HMDB0256602;HMDB0252238;HMDB0254773;HMDB0258263;HMDB0250352;HMDB0060800;HMDB0032845;HMDB0039045;HMDB0255420;HMDB0248460;HMDB0248689;HMDB0253461;HMDB0254248;HMDB0256037;HMDB0060924;HMDB0257005;HMDB0014895;HMDB0251844;HMDB0257319;HMDB0249355;;;;;;;;;;;;
9;;;HMDB0038334;HMDB0040762;HMDB0059987;HMDB0240440;HMDB0014693;HMDB0252236;HMDB0240564;HMDB0062189;HMDB0251439;HMDB0258944;HMDB0031901;HMDB0251617;HMDB0039385;HMDB0255806;HMDB0040889;HMDB0039564;HMDB0037485;HMDB0037696;HMDB0038422;HMDB0031673;HMDB0041657;HMDB0034138;HMDB0041651;HMDB0035438;HMDB0035076;HMDB0032641;HMDB0255156;HMDB0033996;HMDB0030826;HMDB0039633;HMDB0240433;HMDB0030646;HMDB0030796;HMDB0034272;HMDB0040164;HMDB0041655;HMDB0059799;HMDB0039063;HMDB0059772;HMDB0038396;HMDB0038322;HMDB0034838;HMDB0037667;HMDB0301784;HMDB0040134;HMDB0037738;HMDB0040012;HMDB0034109;HMDB0030523;HMDB0255657;HMDB0041913;HMDB0258473;HMDB0245972;HMDB0242445;HMDB0060600;HMDB0060911;HMDB0247995;HMDB0015322;HMDB0256900;HMDB0250075;HMDB0015252;HMDB0259233;HMDB0033876;HMDB0254841;HMDB0249337;HMDB0247882;HMDB0251455;HMDB0256991;HMDB0250376;HMDB0255423;HMDB0015280;HMDB0015602;HMDB0060670;HMDB0014920;HMDB0244116;HMDB0256527;;;;;;;;;;;;
